id,address_street,address_city,address_state,address_zip,address_country
1,"7352 Pearson Stravenue","Ryanberg","Maryland","26789","Georgia"
2,"04209 Ashley Prairie Apt. 874","South Cheryl","Michigan","94523","Bouvet Island (Bouvetoya)"
3,"80676 Simmons Circle","South Christina","Maine","10635","British Indian Ocean Territory (Chagos Archipelago)"
4,"645 Bell Turnpike Suite 611","Lake Megan","Idaho","70134","Kuwait"
5,"18358 Marc Lights Apt. 171","Lake Eddie","Nebraska","35272","Costa Rica"
6,"7626 West Rue","Port Josephville","California","41632","Senegal"
7,"91326 James Union Suite 708","West Kristenville","Idaho","80572","Guinea-Bissau"
8,"25240 Bryan Cliff Apt. 664","Brookshaven","Texas","14820","Lao People's Democratic Republic"
9,"4210 Jacob Mission Suite 580","Griffinborough","Iowa","36031","Kazakhstan"
10,"35418 Green Square","Sarahville","South Carolina","01243","Somalia"
11,"87663 Anthony Overpass","East Jacquelinefort","South Dakota","19886","Christmas Island"
12,"4229 Tammy Extension","Lake Andrea","Tennessee","83845","Gabon"
13,"877 Keith Villages","Lake Carolynchester","Wyoming","86128","Montserrat"
14,"56270 Wiggins Village","New Janet","Utah","88460","Iran"
15,"50019 Simmons Run","Fieldsland","Tennessee","96215","Romania"
16,"3668 Miller Mountain","Brownland","Illinois","82262","Svalbard & Jan Mayen Islands"
17,"1683 Bill Place","Stewartstad","West Virginia","21218","Saint Barthelemy"
18,"360 Amanda Lock Suite 841","Lake Ericmouth","Missouri","57704","Seychelles"
19,"34877 Klein Junction Suite 190","Sarahmouth","South Carolina","43484","Saint Kitts and Nevis"
20,"92132 Castillo Inlet","Lake Kimberly","Tennessee","82554","Uruguay"
21,"634 David Turnpike","Lake Yesenia","Oklahoma","75961","Saudi Arabia"
22,"555 Brian Street Apt. 160","West Danside","Arizona","34198","Kazakhstan"
23,"86202 Juan Harbors Suite 522","North Destinyberg","New York","00640","Bahrain"
24,"909 Eric Extension Suite 267","Parkershire","Hawaii","53059","Luxembourg"
25,"0702 Mcintyre Lights","North Nicholaschester","Washington","97890","Maldives"
26,"54021 Williams Lane Suite 840","Milesberg","North Dakota","46663","Barbados"
27,"02482 Trevor Via Suite 773","Jacksonport","Mississippi","87613","Belize"
28,"1430 Cannon Pass","North Martha","Florida","58193","New Zealand"
29,"1116 William Shore","Lake Elizabeth","Montana","35820","French Southern Territories"
30,"91299 Eduardo Ridge","New David","Washington","91739","Iceland"
31,"464 Gross Mall Suite 256","Holtburgh","Arizona","95140","Costa Rica"
32,"2436 April Drive Apt. 465","Davidfort","Alaska","25880","Hungary"
33,"3514 Snyder Views Suite 500","Douglasmouth","Tennessee","90178","Zambia"
34,"11807 Hanna Freeway","Williamchester","West Virginia","32694","Singapore"
35,"634 Price Light Apt. 223","Campbellmouth","Colorado","76211","Russian Federation"
36,"3143 Jessica Plaza Apt. 502","Hardyside","Ohio","97578","Finland"
37,"934 Brown Station Suite 450","Duranfurt","Pennsylvania","18449","United States Virgin Islands"
38,"01412 Mcintosh Road Apt. 959","Smithmouth","South Carolina","32670","Lebanon"
39,"600 Christian Knoll Apt. 705","South Cathy","Illinois","16647","French Southern Territories"
40,"2187 Thomas Island Apt. 459","Clarketon","Indiana","89939","Kazakhstan"
41,"30703 Watts Well","Johnmouth","Ohio","43966","Congo"
42,"446 Amy Glens","West Elizabethmouth","Alaska","26619","Singapore"
43,"21569 Cox Views","North Marcus","Utah","68421","Myanmar"
